OriginalCityStateID,NewCityStateID,City,OriginalState,NewState,MatchValue,MlInputCity,MlPredictedState,MlConfidence
livoniacenterny,livoniacenterny,livonia center,NY,NY,90.5,livonia center,CT,0.1605720293324702
hanyesnd,hanyesak,hanyes,ND,AK,83.33333333333334,hanyes,PA,0.0259794308996445
bigbaymi,bigbayal,big bay,MI,AL,71.42857142857143,big bay,AK,0.7511581949256562
centralgardenstx,centralgardenstx,central gardens,TX,TX,100.0,central gardens,FL,0.1823100128277822
mcintoshfl,mcintoshnm,mcintosh,FL,NM,100.0,mcintosh,ND,0.3570541072388989
louisvilleal,louisvilleco,louisville,AL,CO,100.0,louisville,KY,0.0679145607803535
wilsonar,wilsonny,wilson,AR,NY,100.0,wilson,WY,0.2863474853488962
llanodelmedionm,llanodelmedioar,llano del medio,NM,AR,90.5,llano del medio,CA,0.1346766463966071
antonitoco,antonitoco,antonito,CO,CO,90.5,antonito,PA,0.0259794308996445
pleasntpainoh,pleasntpainca,pleasnt pain,OH,CA,83.33333333333334,pleasnt pain,WA,0.0542242983999901
buchanannd,buchananga,buchanan,ND,GA,100.0,buchanan,IA,0.2185211708659124
chewsvillemd,chewsvillemd,chewsville,MD,MD,80.0,chewsville,PA,0.0259794308996445
lavinamt,lavinaga,lavina,MT,GA,85.71428571428571,lavina,PA,0.0259794308996445
channellakeil,channellakeil,channel lake,IL,IL,100.0,channel lake,CA,0.1037805406269836
petroliapa,petroliapa,petrolia,PA,PA,75.0,petrolia,PA,0.0259794308996445
plumwoodoh,plumwoodpa,plumwood,OH,PA,90.5,plumwood,PA,0.0259794308996445
arcadial,arcadiaca,arcadia,L,CA,100.0,arcadia,SC,0.111927749962181
eltonal,eltonla,elton,AL,LA,100.0,elton,DE,0.3346344668294264
junctioncityor,junctioncityor,junction city,OR,OR,100.0,junction city,AZ,0.3684350032839732
allportar,allportnm,allport,AR,NM,90.5,allport,PA,0.0259794308996445
clarksburgca,clarksburgmd,clarksburg,CA,MD,100.0,clarksburg,WV,0.217670395193567
mountivyny,mountivyny,mount ivy,NY,NY,100.0,mount ivy,NY,0.0624553907869647
monticelloil,monticelloil,monticello,IL,IL,100.0,monticello,VA,0.078032418640794
kennebecvsd,kennebecsd,kennebec,VSD,SD,100.0,kennebec,ME,0.7414704672308269
iklnms,iklnms,ikln,MS,MS,75.0,ikln,PA,0.0259794308996445
oceangrovenj,oceangrovenj,ocean grove,NJ,NJ,100.0,ocean grove,NJ,0.2114319472014924
elparaisopr,elparaisosd,el paraiso,PR,SD,81.81818181818183,el paraiso,NM,0.3149837670579087
azurehmt,azurehmt,azureh,MT,MT,66.66666666666666,azureh,PA,0.0259794308996445
mustangtx,mustangok,mustang,TX,OK,100.0,mustang,OK,0.1512249121480798
oneiaky,oneiany,oneia,KY,NY,83.33333333333334,oneia,ID,0.2425887352138844
