CityStateID,City,ISO_Code_x,State,StateID,ISO_Code_y
abbevilleal,abbeville,al,alabama,0,al
adamsvilleal,adamsville,al,alabama,0,al
alabasteral,alabaster,al,alabama,0,al
albertvilleal,albertville,al,alabama,0,al
alexandercityal,alexander city,al,alabama,0,al
alexandriaal,alexandria,al,alabama,0,al
alicevilleal,aliceville,al,alabama,0,al
andalusiaal,andalusia,al,alabama,0,al
annistonal,anniston,al,alabama,0,al
arabal,arab,al,alabama,0,al
argoal,argo,al,alabama,0,al
ashfordal,ashford,al,alabama,0,al
ashlandal,ashland,al,alabama,0,al
ashvilleal,ashville,al,alabama,0,al
athensal,athens,al,alabama,0,al
atmoreal,atmore,al,alabama,0,al
attallaal,attalla,al,alabama,0,al
auburnal,auburn,al,alabama,0,al
autaugacountyal,autauga county,al,alabama,0,al
baldwincountyal,baldwin county,al,alabama,0,al
ballplayal,ballplay,al,alabama,0,al
barbourcountyal,barbour county,al,alabama,0,al
bayminetteal,bay minette,al,alabama,0,al
bayoulabatreal,bayou la batre,al,alabama,0,al
bearcreekal,bear creek,al,alabama,0,al
berryal,berry,al,alabama,0,al
bessemeral,bessemer,al,alabama,0,al
bibbcountyal,bibb county,al,alabama,0,al
birminghamal,birmingham,al,alabama,0,al
blountcountyal,blount county,al,alabama,0,al
blountsvilleal,blountsville,al,alabama,0,al
blueridgeal,blue ridge,al,alabama,0,al
boazal,boaz,al,alabama,0,al
brental,brent,al,alabama,0,al
brewtonal,brewton,al,alabama,0,al
bridgeportal,bridgeport,al,alabama,0,al
brightonal,brighton,al,alabama,0,al
brookhighlandal,brook highland,al,alabama,0,al
brooksideal,brookside,al,alabama,0,al
brookwoodal,brookwood,al,alabama,0,al
brundidgeal,brundidge,al,alabama,0,al
bullockcountyal,bullock county,al,alabama,0,al
butleral,butler,al,alabama,0,al
butlercountyal,butler county,al,alabama,0,al
bynumal,bynum,al,alabama,0,al
cahabaheightsal,cahaba heights,al,alabama,0,al
caleraal,calera,al,alabama,0,al
calhouncountyal,calhoun county,al,alabama,0,al
camdenal,camden,al,alabama,0,al
carbonhillal,carbon hill,al,alabama,0,al
carlisle-rockledgeal,carlisle-rockledge,al,alabama,0,al
carrolltonal,carrollton,al,alabama,0,al
cedarbluffal,cedar bluff,al,alabama,0,al
centerpointal,center point,al,alabama,0,al
centreal,centre,al,alabama,0,al
centrevilleal,centreville,al,alabama,0,al
chalkvilleal,chalkville,al,alabama,0,al
chamberscountyal,chambers county,al,alabama,0,al
chatomal,chatom,al,alabama,0,al
chelseaal,chelsea,al,alabama,0,al
cherokeeal,cherokee,al,alabama,0,al
cherokeecountyal,cherokee county,al,alabama,0,al
chickasawal,chickasaw,al,alabama,0,al
childersburgal,childersburg,al,alabama,0,al
chiltoncountyal,chilton county,al,alabama,0,al
choccoloccoal,choccolocco,al,alabama,0,al
choctawcountyal,choctaw county,al,alabama,0,al
citronelleal,citronelle,al,alabama,0,al
clantonal,clanton,al,alabama,0,al
clarkecountyal,clarke county,al,alabama,0,al
clayal,clay,al,alabama,0,al
claycountyal,clay county,al,alabama,0,al
claytonal,clayton,al,alabama,0,al
cleburnecountyal,cleburne county,al,alabama,0,al
clevelandal,cleveland,al,alabama,0,al
clioal,clio,al,alabama,0,al
coalingal,coaling,al,alabama,0,al
coffeecountyal,coffee county,al,alabama,0,al
colbertcountyal,colbert county,al,alabama,0,al
collinsvilleal,collinsville,al,alabama,0,al
columbianaal,columbiana,al,alabama,0,al
concordal,concord,al,alabama,0,al
conecuhcountyal,conecuh county,al,alabama,0,al
coosacountyal,coosa county,al,alabama,0,al
coosadaal,coosada,al,alabama,0,al
cordovaal,cordova,al,alabama,0,al
cottonwoodal,cottonwood,al,alabama,0,al
covingtoncountyal,covington county,al,alabama,0,al
cowartsal,cowarts,al,alabama,0,al
crenshawcountyal,crenshaw county,al,alabama,0,al
creolaal,creola,al,alabama,0,al
crossvilleal,crossville,al,alabama,0,al
cullmanal,cullman,al,alabama,0,al
cullmancountyal,cullman county,al,alabama,0,al
dadevilleal,dadeville,al,alabama,0,al
dalecountyal,dale county,al,alabama,0,al
dalevilleal,daleville,al,alabama,0,al
dallascountyal,dallas county,al,alabama,0,al
danvilleal,danville,al,alabama,0,al
daphneal,daphne,al,alabama,0,al
dauphinislandal,dauphin island,al,alabama,0,al
dekalbcountyal,dekalb county,al,alabama,0,al
deatsvilleal,deatsville,al,alabama,0,al
decatural,decatur,al,alabama,0,al
demopolisal,demopolis,al,alabama,0,al
dixianaal,dixiana,al,alabama,0,al
doraal,dora,al,alabama,0,al
dothanal,dothan,al,alabama,0,al
doublespringsal,double springs,al,alabama,0,al
eastbrewtonal,east brewton,al,alabama,0,al
eastflorenceal,east florence,al,alabama,0,al
eclectical,eclectic,al,alabama,0,al
elbaal,elba,al,alabama,0,al
elbertaal,elberta,al,alabama,0,al
elmoreal,elmore,al,alabama,0,al
elmorecountyal,elmore county,al,alabama,0,al
emeraldmountainal,emerald mountain,al,alabama,0,al
enterpriseal,enterprise,al,alabama,0,al
escambiacountyal,escambia county,al,alabama,0,al
etowahcountyal,etowah county,al,alabama,0,al
eufaulaal,eufaula,al,alabama,0,al
eutawal,eutaw,al,alabama,0,al
evergreenal,evergreen,al,alabama,0,al
fairfieldal,fairfield,al,alabama,0,al
fairhopeal,fairhope,al,alabama,0,al
falkvilleal,falkville,al,alabama,0,al
fayetteal,fayette,al,alabama,0,al
fayettecountyal,fayette county,al,alabama,0,al
fayettevilleal,fayetteville,al,alabama,0,al
flintcityal,flint city,al,alabama,0,al
flomatonal,flomaton,al,alabama,0,al
floralaal,florala,al,alabama,0,al
florenceal,florence,al,alabama,0,al
foleyal,foley,al,alabama,0,al
forestdaleal,forestdale,al,alabama,0,al
fortdeposital,fort deposit,al,alabama,0,al
fortpayneal,fort payne,al,alabama,0,al
fortruckeral,fort rucker,al,alabama,0,al
franklincountyal,franklin county,al,alabama,0,al
friscocityal,frisco city,al,alabama,0,al
fultondaleal,fultondale,al,alabama,0,al
fyffeal,fyffe,al,alabama,0,al
gadsdenal,gadsden,al,alabama,0,al
gardendaleal,gardendale,al,alabama,0,al
genevaal,geneva,al,alabama,0,al
genevacountyal,geneva county,al,alabama,0,al
georgianaal,georgiana,al,alabama,0,al
glencoeal,glencoe,al,alabama,0,al
goodhopeal,good hope,al,alabama,0,al
goodwateral,goodwater,al,alabama,0,al
gordoal,gordo,al,alabama,0,al
grandbayal,grand bay,al,alabama,0,al
graysonvalleyal,grayson valley,al,alabama,0,al
graysvilleal,graysville,al,alabama,0,al
greenecountyal,greene county,al,alabama,0,al
greensboroal,greensboro,al,alabama,0,al
greenvilleal,greenville,al,alabama,0,al
grovehillal,grove hill,al,alabama,0,al
guinal,guin,al,alabama,0,al
gulfshoresal,gulf shores,al,alabama,0,al
guntersvilleal,guntersville,al,alabama,0,al
hackleburgal,hackleburg,al,alabama,0,al
halecountyal,hale county,al,alabama,0,al
haleyvilleal,haleyville,al,alabama,0,al
hamiltonal,hamilton,al,alabama,0,al
hancevilleal,hanceville,al,alabama,0,al
harpersvilleal,harpersville,al,alabama,0,al
hartfordal,hartford,al,alabama,0,al
hartselleal,hartselle,al,alabama,0,al
harvestal,harvest,al,alabama,0,al
haydenal,hayden,al,alabama,0,al
haynevilleal,hayneville,al,alabama,0,al
hazelgreenal,hazel green,al,alabama,0,al
headlandal,headland,al,alabama,0,al
heflinal,heflin,al,alabama,0,al
helenaal,helena,al,alabama,0,al
henagaral,henagar,al,alabama,0,al
henrycountyal,henry county,al,alabama,0,al
highlandlakesal,highland lakes,al,alabama,0,al
hokesbluffal,hokes bluff,al,alabama,0,al
holtal,holt,al,alabama,0,al
holtvilleal,holtville,al,alabama,0,al
homewoodal,homewood,al,alabama,0,al
hooveral,hoover,al,alabama,0,al
houstoncountyal,houston county,al,alabama,0,al
hueytownal,hueytown,al,alabama,0,al
huguleyal,huguley,al,alabama,0,al
huntsvilleal,huntsville,al,alabama,0,al
indianspringsvillageal,indian springs village,al,alabama,0,al
invernessal,inverness,al,alabama,0,al
irondaleal,irondale,al,alabama,0,al
jacksonal,jackson,al,alabama,0,al
jacksoncountyal,jackson county,al,alabama,0,al
jacksonvilleal,jacksonville,al,alabama,0,al
jasperal,jasper,al,alabama,0,al
jeffersoncountyal,jefferson county,al,alabama,0,al
jemisonal,jemison,al,alabama,0,al
kimberlyal,kimberly,al,alabama,0,al
kinseyal,kinsey,al,alabama,0,al
ladoniaal,ladonia,al,alabama,0,al
lafayetteal,lafayette,al,alabama,0,al
lakepurdyal,lake purdy,al,alabama,0,al
lakeviewal,lake view,al,alabama,0,al
lamarcountyal,lamar county,al,alabama,0,al
lanettal,lanett,al,alabama,0,al
lauderdalecountyal,lauderdale county,al,alabama,0,al
lawrencecountyal,lawrence county,al,alabama,0,al
leecountyal,lee county,al,alabama,0,al
leedsal,leeds,al,alabama,0,al
leesburgal,leesburg,al,alabama,0,al
levelplainsal,level plains,al,alabama,0,al
limestonecountyal,limestone county,al,alabama,0,al
lincolnal,lincoln,al,alabama,0,al
lindenal,linden,al,alabama,0,al
linevilleal,lineville,al,alabama,0,al
lipscombal,lipscomb,al,alabama,0,al
livingstonal,livingston,al,alabama,0,al
locustforkal,locust fork,al,alabama,0,al
lowndescountyal,lowndes county,al,alabama,0,al
loxleyal,loxley,al,alabama,0,al
luverneal,luverne,al,alabama,0,al
maconcountyal,macon county,al,alabama,0,al
madisonal,madison,al,alabama,0,al
madisoncountyal,madison county,al,alabama,0,al
malvernal,malvern,al,alabama,0,al
marburyal,marbury,al,alabama,0,al
marengocountyal,marengo county,al,alabama,0,al
margaretal,margaret,al,alabama,0,al
marional,marion,al,alabama,0,al
marioncountyal,marion county,al,alabama,0,al
marshallcountyal,marshall county,al,alabama,0,al
meadowbrookal,meadowbrook,al,alabama,0,al
meridianvilleal,meridianville,al,alabama,0,al
midfieldal,midfield,al,alabama,0,al
midlandcityal,midland city,al,alabama,0,al
mignonal,mignon,al,alabama,0,al
millbrookal,millbrook,al,alabama,0,al
minoral,minor,al,alabama,0,al
mobileal,mobile,al,alabama,0,al
mobilecountyal,mobile county,al,alabama,0,al
monroecountyal,monroe county,al,alabama,0,al
monroevilleal,monroeville,al,alabama,0,al
montevalloal,montevallo,al,alabama,0,al
montgomeryal,montgomery,al,alabama,0,al
montgomerycountyal,montgomery county,al,alabama,0,al
moodyal,moody,al,alabama,0,al
mooresmillal,moores mill,al,alabama,0,al
morgancountyal,morgan county,al,alabama,0,al
morrisal,morris,al,alabama,0,al
moultonal,moulton,al,alabama,0,al
moundvilleal,moundville,al,alabama,0,al
mountoliveal,mount olive,al,alabama,0,al
mountvernonal,mount vernon,al,alabama,0,al
mountainbrookal,mountain brook,al,alabama,0,al
munfordal,munford,al,alabama,0,al
muscleshoalsal,muscle shoals,al,alabama,0,al
newbrocktonal,new brockton,al,alabama,0,al
newhopeal,new hope,al,alabama,0,al
newmarketal,new market,al,alabama,0,al
newtonal,newton,al,alabama,0,al
northbibbal,north bibb,al,alabama,0,al
northportal,northport,al,alabama,0,al
odenvilleal,odenville,al,alabama,0,al
ohatcheeal,ohatchee,al,alabama,0,al
oneontaal,oneonta,al,alabama,0,al
