OriginalCityStateID,NewCityStateID,City,OriginalState,NewState,MatchValue
livoniacenterny,livoniacenterny,livonia center,NY,NY,90.5
hanyesnd,hanyesak,hanyes,ND,AK,83.33333333333334
bigbaymi,bigbayal,big bay,MI,AL,71.42857142857143
centralgardenstx,centralgardenstx,central gardens,TX,TX,100.0
mcintoshfl,mcintoshnm,mcintosh,FL,NM,100.0
louisvilleal,louisvilleco,louisville,AL,CO,100.0
wilsonar,wilsonny,wilson,AR,NY,100.0
llanodelmedionm,llanodelmedioar,llano del medio,NM,AR,90.5
antonitoco,antonitoco,antonito,CO,CO,90.5
pleasntpainoh,pleasntpainca,pleasnt pain,OH,CA,83.33333333333334
buchanannd,buchananga,buchanan,ND,GA,100.0
chewsvillemd,chewsvillemd,chewsville,MD,MD,80.0
lavinamt,lavinaga,lavina,MT,GA,85.71428571428571
channellakeil,channellakeil,channel lake,IL,IL,100.0
petroliapa,petroliapa,petrolia,PA,PA,75.0
plumwoodoh,plumwoodpa,plumwood,OH,PA,90.5
arcadial,arcadiaca,arcadia,L,CA,100.0
eltonal,eltonla,elton,AL,LA,100.0
junctioncityor,junctioncityor,junction city,OR,OR,100.0
allportar,allportnm,allport,AR,NM,90.5
clarksburgca,clarksburgmd,clarksburg,CA,MD,100.0
mountivyny,mountivyny,mount ivy,NY,NY,100.0
monticelloil,monticelloil,monticello,IL,IL,100.0
kennebecvsd,kennebecsd,kennebec,VSD,SD,100.0
iklnms,iklnms,ikln,MS,MS,75.0
oceangrovenj,oceangrovenj,ocean grove,NJ,NJ,100.0
elparaisopr,elparaisosd,el paraiso,PR,SD,81.81818181818183
azurehmt,azurehmt,azureh,MT,MT,66.66666666666666
mustangtx,mustangok,mustang,TX,OK,100.0
oneiaky,oneiany,oneia,KY,NY,83.33333333333334
shenandoahtx,shenandoahtx,shenandoah,TX,TX,100.0
glenlynva,glenlynpa,glen lyn,VA,PA,88.88888888888889
pointlayak,pointlayca,point lay,AK,CA,75.0
rgdontx,rgdonal,rgdon,TX,AL,75.0
duchesslandingok,duchesslandingnm,duchess landing,OK,NM,80.0
jaspermn,jasperal,jasper,MN,AL,100.0
kennerla,kennerla,kenner,LA,LA,100.0
oiltontx,oiltonca,oilton,TX,CA,100.0
arhurknd,arhuril,arhur,KND,IL,83.33333333333334
clearlakewa,clearlakewa,clear lake,WA,WA,100.0
willitsca,willitsca,willits,CA,CA,100.0
frontenacks,frontenacks,frontenac,KS,KS,100.0
paxtoniapa,paxtoniapa,paxtonia,PA,PA,100.0
springhilltn,springhilltn,spring hill,TN,TN,100.0
uphmand,uphmaca,uphma,ND,CA,66.66666666666666
jeffersonla,jeffersonla,jefferson,LA,LA,100.0
millermo,millersd,miller,MO,SD,100.0
hatleywi,hatleyca,hatley,WI,CA,85.71428571428571
carlyssla,carlyssla,carlyss,LA,LA,100.0
invernessms,invernessal,inverness,MS,AL,100.0
canalwinchesterh,canalwinchesteroh,canal winchester,H,OH,100.0
leonvalleytx,leonvalleytx,leon valley,TX,TX,100.0
pineknollshoresnc,pineknollshoresnc,pine knoll shores,NC,NC,100.0
stebbinsak,stebbinsme,stebbins,AK,ME,85.71428571428571
greasewoodaz,greasewoodca,greasewood,AZ,CA,75.0
lismoremn,lismoreky,lismore,MN,KY,85.71428571428571
puntamlakeny,puntamlakeny,puntam lake,NY,NY,90.9090909090909
beardennr,beardende,bearden,NR,DE,90.5
harrisburgpa,harrisburgpa,harrisburg,PA,PA,100.0
nowataok,nowataok,nowata,OK,OK,100.0
portjervisny,portjervisny,port jervis,NY,NY,100.0
ewirms,ewirmd,ewir,MS,MD,60.0
kansascityk,kansascityks,kansas city,K,KS,100.0
starharbortx,starharborid,star harbor,TX,ID,90.5
rockriverwy,rockriveroh,rock river,WY,OH,90.9090909090909
montgoerycitymo,montgoerycitymo,montgoery city,MO,MO,93.33333333333333
carpentersvilleil,carpentersvilleil,carpentersville,IL,IL,100.0
miamitownho,miamitownoh,miamitown,HO,OH,100.0
equalityil,equalityca,equality,IL,CA,66.66666666666666
tuttleok,tuttleok,tuttle,OK,OK,100.0
mountolviecn,mountolvieal,mount olvie,CN,AL,90.9090909090909
whitmebv,whitmebsc,whitmeb,V,SC,75.0
amblerpa,amblerpa,ambler,PA,PA,100.0
willistonnd,willistonnd,williston,ND,ND,100.0
jellicot,jellicotn,jellico,T,TN,100.0
northlindenhurstny,northlindenhurstny,north lindenhurst,NY,NY,100.0
presqueisleharbormi,presqueisleharborme,presque isle harbor,MI,ME,90.5
frontiernd,frontiernd,frontier,ND,ND,71.42857142857143
iolapa,iolaks,iola,PA,KS,100.0
holladayut,holladayut,holladay,UT,UT,100.0
htillopr,htillopr,htillo,PR,PR,85.71428571428571
whitesulphurspringswv,whitesulphurspringswv,white sulphur springs,WV,WV,100.0
knobelar,knobelin,knobel,AR,IN,75.0
sunmanin,sunmanin,sunman,IN,IN,100.0
tangentor,tangentor,tangent,OR,OR,100.0
faiviewh,faiviewca,faiview,H,CA,87.5
birdongar,birdongtx,birdong,AR,TX,80.0
cranesvillepa,cranesvillega,cranesville,PA,GA,90.9090909090909
draperva,draperut,draper,VA,UT,100.0
spiritlakeia,spiritlakeia,spirit lake,IA,IA,100.0
fellowsca,fellowsco,fellows,CA,CO,80.0
deferitny,deferitar,deferit,NY,AR,80.0
cooperstwonpa,cooperstwonny,cooperstwon,PA,NY,90.9090909090909
libertyok,libertyin,liberty,OK,IN,100.0
cameronsc,cameronla,cameron,SC,LA,100.0
starprairiewi,starprairiemo,star prairie,WI,MO,91.66666666666666
coyaw,coywy,coy,AW,WY,75.0
sunlakesaz,sunlakesaz,sun lakes,AZ,AZ,100.0
cedarhilltx,cedarhilltx,cedar hill,TX,TX,100.0
tusculumtn,tusculumtn,tusculum,TN,TN,100.0
yachatsor,yachatsak,yachats,OR,AK,90.5
tickfawla,tickfawfl,tickfaw,LA,FL,75.0
audubonparkky,audubonparkky,audubon park,KY,KY,100.0
elginia,elginil,elgin,IA,IL,100.0
westpointal,westpointga,west point,AL,GA,100.0
kensettar,kensettar,kensett,AR,AR,100.0
fayettevilleil,fayettevilleal,fayetteville,IL,AL,100.0
laekforestparkwa,laekforestparkwa,laek forest park,WA,WA,93.75
pearlriverms,pearlriverms,pearl river,MS,MS,100.0
portashingtonwi,portashingtonwi,port ashington,WI,WI,93.33333333333333
walnutgrovegmo,walnutgroveca,walnut grove,GMO,CA,100.0
janesvilleca,janesvilleca,janesville,CA,CA,100.0
muprhysca,muprhysca,muprhys,CA,CA,85.71428571428571
shilohil,shilohil,shiloh,IL,IL,100.0
defincemo,definceoh,defince,MO,OH,87.5
slovnapa,slovnaia,slovna,PA,IA,80.0
fincastleva,fincastleva,fincastle,VA,VA,100.0
orchardmesaco,orchardmesaco,orchard mesa,CO,CO,100.0
remyok,remyga,remy,OK,GA,75.0
westmilfordwv,westmilfordnj,west milford,WV,NJ,100.0
fortgreleyak,fortgreleyga,fort greley,AK,GA,81.81818181818183
easthamptonma,easthamptonma,easthampton,MA,MA,100.0
smithvillageok,smithvillagenv,smith village,OK,NV,90.5
nuions,nuionor,nuion,S,OR,83.33333333333334
gibsonvillenc,gibsonvillenc,gibsonville,NC,NC,100.0
bracevilleil,bracevillefl,braceville,IL,FL,90.0
summitparkut,summitparkut,summit park,UT,UT,100.0
governmentcampr,governmentcampks,government camp,R,KS,90.5
atlanticpa,atlanticia,atlantic,PA,IA,100.0
shalimarfl,shalimardc,shalimar,FL,DC,75.0
edwardsburgmi,edwardsburgmi,edwardsburg,MI,MI,100.0
lucasvilleoh,lucasvilleoh,lucasville,OH,OH,100.0
roanokeil,roanokeil,roanoke,IL,IL,100.0
awynesborova,awynesborova,awynesboro,VA,VA,90.0
lakejunaluskancm,lakejunaluskanc,lake junaluska,NCM,NC,100.0
craneni,cranemo,crane,NI,MO,100.0
lulingtx,lulingtx,luling,TX,TX,100.0
sabanagrandepr,sabanagrandepr,sabana grande,PR,PR,100.0
farwellne,farwelltx,farwell,NE,TX,100.0
montroseny,montroseny,montrose,NY,NY,100.0
fhrestms,fhrestms,fhrest,MS,MS,83.33333333333334
kirbywy,kirbytx,kirby,WY,TX,100.0
sawyerwoodoh,sawyerwoodoh,sawyerwood,OH,OH,100.0
montereyn,montereyca,monterey,N,CA,100.0
rockvillect,rockvillect,rockville,CT,CT,100.0
linndaleoh,linndalems,linndale,OH,MS,90.5
sibleymo,sibleyia,sibley,MO,IA,100.0
laketomahawki,laketomahawkak,lake tomahawk,I,AK,80.0
remindervilleoh,remindervilleoh,reminderville,OH,OH,100.0
severyks,severymd,severy,KS,MD,83.33333333333334
jasperal,jasperal,jasper,AL,AL,100.0
grenadaca,grenadams,grenada,CA,MS,100.0
sorzdeposita,sorzdeposital,sorz deposit,A,AL,83.33333333333334
lochlomondva,lochlomondva,loch lomond,VA,VA,100.0
winchesterok,winchesterca,winchester,OK,CA,100.0
dickersoncityfl,dickersoncityks,dickerson city,FL,KS,88.88888888888889
blawenburgnj,blawenburgmd,blawenburg,NJ,MD,81.81818181818183
newringgoldpa,newringgoldmn,new ringgold,PA,MN,75.0
nenahnezadnm,nenahnezadar,nenahnezad,NM,AR,90.5
kirkmania,kirkmanky,kirkman,IA,KY,85.71428571428571
ponceinletfl,ponceinletfl,ponce inlet,FL,FL,100.0
summerhavenaz,summerhavenil,summerhaven,AZ,IL,83.33333333333334
marspa,marspa,mars,PA,PA,100.0
manchesterky,manchesterky,manchester,KY,KY,100.0
brownsborovillageky,brownsborovillagetx,brownsboro village,KY,TX,90.5
jacksoncenteroh,jacksoncenteroh,jackson center,OH,OH,100.0
fortvalleyga,fortvalleyga,fort valley,GA,GA,100.0
horseshoebendhar,horseshoebendar,horseshoe bend,HAR,AR,100.0
bassttne,bassttne,basstt,NE,NE,85.71428571428571
dalzellil,dalzellsc,dalzell,IL,SC,100.0
bntonharbormi,bntonharbormi,bnton harbor,MI,MI,92.3076923076923
inglewoodne,inglewoodca,inglewood,NE,CA,100.0
vanderbiltpa,vanderbiltnc,vanderbilt,PA,NC,90.5
harpsterh,harpstermi,harpster,H,MI,75.0
fountainhead-orchardhillsmd,fountainhead-orchardhillsmd,fountainhead-orchard hills,MD,MD,100.0
valleyspringsar,valleyspringsca,valley springs,AR,CA,100.0
jeffersonvalley-yorktownny,jeffersonvalley-yorktownny,jefferson valley-yorktown,NY,NY,100.0
portlandco,portlandct,portland,CO,CT,100.0
buttedesmortswi,buttedesmortsak,butte des morts,WI,AK,90.5
indianspringsmd,indianspringsga,indian springs,MD,GA,100.0
dahlgernva,dahlgernva,dahlgern,VA,VA,87.5
farmersvilleoh,farmersvilleoh,farmersville,OH,OH,100.0
rockwellai,rockwellar,rockwell,AI,AR,100.0
okeekeok,okeekear,okeeke,OK,AR,100.0
chasepa,chaseal,chase,PA,AL,71.42857142857143
augustami,augustaar,augusta,MI,AR,100.0
daytonin,daytonin,dayton,IN,IN,100.0
coburgia,coburgor,coburg,IA,OR,100.0
cherawco,cherawsc,cheraw,CO,SC,100.0
donnelsvilleoh,donnelsvillein,donnelsville,OH,IN,91.66666666666666
bartelsoil,bartelsoia,bartelso,IL,IA,83.33333333333334
